L01 L02 L03 L04 L05 L06 L07 L08 L09 L10 L11 L12 L13 L14 L15 L16 L17 L18 L19 L20 L21 L22 L23 L24 L25 L26 L27 L28 L29 L30
001 45/45 07/50 37/41 46/46 12/12 43/43 08/25 03/03 14/14 20/22 19/30 38/38 22/22 36/36 33/33 02/02 07/07 40/40 17/34 12/12 14/14 09/42 29/29 18/18 40/40 48/48 34/46 29/50 11/11 42/42
002 34/45 10/10 05/46 48/48 46/46 25/29 24/36 03/26 05/14 20/34 46/46 25/41 10/28 16/25 22/22 32/45 08/08 08/08 43/43 22/22 10/14 02/02 29/29 06/06 32/40 49/49 06/46 19/19 11/21 23/23
003 45/45 10/25 46/46 08/48 46/46 25/29 24/36 03/26 14/14 15/34 46/46 41/41 10/10 25/25 22/22 45/45 32/32 08/08 43/43 22/22 10/14 04/09 29/29 06/06 32/40 28/28 46/46 19/19 11/11 23/23
004 45/45 10/10 46/46 08/48 11/46 25/29 25/36 26/26 05/14 22/34 46/46 25/25 10/10 16/25 22/22 32/32 07/32 08/40 43/43 22/22 10/14 02/43 29/29 06/06 32/32 28/49 46/46 19/19 30/30 18/23
005 45/45 10/10 46/46 08/48 11/46 25/29 24/25 26/48 05/05 34/34 46/46 25/25 10/10 27/27 22/22 45/45 32/32 08/08 43/43 22/22 10/14 02/04 29/29 06/06 32/32 49/49 46/46 19/19 21/21 23/23
006 45/45 07/50 37/41 46/48 12/12 45/45 08/08 03/03 19/19 22/22 19/19 38/38 22/34 36/36 22/33 02/02 20/20 40/40 17/17 27/27 10/14 09/42 26/29 31/31 32/40 18/48 34/34 50/50 11/11 07/18
007 45/45 10/10 22/46 48/48 11/11 25/25 24/36 03/26 05/05 22/34 46/46 25/25 10/10 25/27 22/22 45/45 08/32 40/40 33/43 22/22 10/14 09/09 45/45 06/06 32/32 18/28 06/06 19/19 11/30 23/23
008 45/45 10/10 46/46 48/48 46/46 25/25 25/36 03/26 14/14 22/34 46/46 18/25 10/10 25/27 22/22 45/45 08/32 08/40 33/33 22/22 14/14 09/09 45/45 06/06 32/32 18/18 06/46 19/36 11/30 23/23
009 03/03 07/50 41/41 46/46 12/12 43/45 08/08 03/03 14/19 22/22 19/30 38/38 22/22 36/36 33/33 02/32 07/20 40/40 17/34 12/27 10/14 09/42 29/29 09/09 40/40 18/48 34/34 29/50 11/11 42/42
010 45/45 07/50 07/41 46/46 12/12 29/29 08/25 03/03 19/19 22/22 19/19 38/38 22/22 36/36 22/22 02/02 20/20 40/40 34/34 27/27 14/14 09/09 29/29 06/31 32/32 18/48 34/34 29/50 11/11 18/18
011 34/34 10/10 05/46 04/08 46/46 29/29 24/36 03/03 05/14 22/34 46/46 25/41 10/10 16/25 22/22 45/45 08/32 08/08 43/43 17/22 10/14 04/04 29/29 06/06 32/32 28/49 46/46 19/19 11/21 23/23
012 45/45 07/07 37/41 46/46 11/11 45/45 08/08 03/33 14/19 22/22 30/30 04/38 22/34 18/18 33/33 02/32 07/07 40/40 17/17 12/27 14/14 42/42 45/45 09/18 40/40 18/18 46/46 50/50 11/11 42/42
013 45/45 07/07 41/41 46/46 11/47 45/45 08/08 33/33 19/19 20/20 19/19 38/38 24/34 16/18 33/33 41/41 07/07 40/40 17/17 27/27 14/14 42/42 45/45 18/19 40/40 48/48 34/34 50/50 11/11 42/42
014 45/45 07/07 07/41 46/46 47/47 45/45 08/30 03/33 14/19 20/20 19/30 38/38 34/34 16/18 33/33 41/41 07/07 40/40 17/17 27/27 10/14 42/42 43/45 18/18 40/40 48/48 34/34 50/50 11/11 18/42
015 34/34 10/25 05/05 48/48 42/46 25/29 36/36 26/26 14/14 20/20 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 43/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 19/19 21/21 18/23
016 45/45 07/50 07/07 46/48 12/12 45/45 08/25 03/03 19/19 22/22 19/46 38/38 22/22 36/36 22/22 02/32 20/32 40/40 34/34 27/27 14/14 09/09 29/29 31/31 32/32 18/48 06/49 50/50 11/11 18/18
017 03/45 50/50 41/41 46/46 11/12 43/45 08/25 03/48 19/19 20/20 19/19 38/38 22/22 18/36 33/33 32/32 07/07 40/40 17/34 12/12 10/14 09/42 26/29 09/18 40/40 48/48 34/46 50/50 11/11 42/42
018 45/45 07/07 07/41 46/46 11/11 45/45 08/08 33/48 19/19 20/20 19/19 38/38 22/34 16/18 33/33 02/32 07/07 19/40 17/17 27/27 10/14 42/42 29/45 18/19 40/40 18/48 34/34 50/50 11/11 42/42
019 45/45 07/07 07/07 46/46 11/12 45/45 08/08 33/48 19/19 04/20 19/19 38/38 22/22 16/16 33/33 02/02 07/07 40/40 17/17 27/27 14/14 42/42 29/45 09/19 40/40 18/48 34/34 50/50 11/11 38/42
020 45/45 10/10 46/46 04/48 11/42 25/25 24/36 26/48 14/14 22/34 46/46 25/25 10/28 16/27 22/22 45/45 08/32 08/08 33/33 22/22 10/10 02/02 29/29 06/06 32/32 28/49 46/46 36/36 21/30 23/23
021 45/45 10/10 07/22 48/48 46/46 25/25 08/08 26/26 05/05 22/34 46/46 18/18 10/10 25/25 22/22 32/45 08/32 40/40 33/43 22/22 10/14 09/09 29/45 06/31 32/32 28/28 06/46 19/19 21/21 23/23
022 03/45 07/50 37/41 46/46 12/12 45/45 13/47 03/03 19/19 20/22 19/30 38/38 34/34 36/36 33/33 02/02 20/20 40/40 17/34 27/27 14/14 09/42 29/29 31/31 32/40 48/48 34/34 29/50 11/11 18/18
023 45/45 07/07 07/37 46/46 11/12 45/45 08/08 03/33 19/19 04/22 30/30 38/38 22/34 16/18 33/33 02/41 07/07 40/40 17/17 12/27 10/14 42/42 45/45 18/19 40/40 18/18 34/34 50/50 11/11 07/42
